title,url,img,score,rank,popularity,watching,completed,on_hold,dropped,plan_to_watch,members,favorites,type,episodes,status,aired,premiered,broadcast,producers,licensors,studios,Source,genres,demographic,duration,rating
One Piece Fan Letter,https://myanimelist.net/anime/60022/One_Piece_Fan_Letter,https://cdn.myanimelist.net/images/anime/1455/146229.jpg,9.021,13,1864,5760,117502,402,738,12776,137178,2444,TV Special,1,Finished Airing,"Oct 20, 2024",,,"None found, add some","None found, add some",Toei Animation,Light novel,"Action, Adventure, Fantasy",Shounen,24 min.,PG-13 - Teens 13 or older
Bleach: Sennen Kessen-hen,https://myanimelist.net/anime/41467/Bleach__Sennen_Kessen-hen,https://cdn.myanimelist.net/images/anime/1908/135431.jpg,8.991,14,352,89718,418165,8623,5664,152501,674671,22805,TV,13,Finished Airing,"Oct 11, 2022 to Dec 27, 2022",Fall 2022,Tuesdays at 00,"TV Tokyo, Aniplex, Dentsu, Shueisha",VIZ Media,Studio Pierrot,Manga,"Action, Adventure, Supernatural",Shounen,24 min. per ep.,R - 17+ (violence & profanity)
Gintama.,https://myanimelist.net/anime/34096/Gintama,https://cdn.myanimelist.net/images/anime/3/83528.jpg,8.981,15,785,19237,199621,5179,3879,114919,342835,2810,TV,12,Finished Airing,"Jan 9, 2017 to Mar 27, 2017",Winter 2017,Mondays at 01,"TV Tokyo, Aniplex, Dentsu, Shueisha","None found, add some",Bandai Namco Pictures,Manga,"Action, Comedy, Sci-Fi",Shounen,24 min. per ep.,PG-13 - Teens 13 or older
Kaguya-sama wa Kokurasetai: Ultra Romantic,https://myanimelist.net/anime/43608/Kaguya-sama_wa_Kokurasetai__Ultra_Romantic,https://cdn.myanimelist.net/images/anime/1160/122627.jpg,8.961,16,165,93421,730345,15866,12029,223342,1075003,32802,TV,13,Finished Airing,"Apr 9, 2022 to Jun 25, 2022",Spring 2022,Saturdays at 00,"Aniplex, Mainichi Broadcasting System, Magic Capsule, Shueisha, JR East Marketing & Communications",Aniplex of America,A-1 Pictures,Manga,"Comedy, Romance",Seinen,23 min. per ep.,PG-13 - Teens 13 or older
Fruits Basket: The Final,https://myanimelist.net/anime/42938/Fruits_Basket__The_Final,https://cdn.myanimelist.net/images/anime/1085/114792.jpg,8.941,17,447,38270,334184,7525,5922,162801,548702,21187,TV,13,Finished Airing,"Apr 6, 2021 to Jun 29, 2021",Spring 2021,Tuesdays at 01,"TV Tokyo, TV Osaka, Nihon Ad Systems, Hakusensha, Avex Pictures, TMS Music, 8PAN",Funimation,TMS Entertainment,Manga,"Drama, Romance, Supernatural",Shoujo,23 min. per ep.,PG-13 - Teens 13 or older
Clannad: After Story,https://myanimelist.net/anime/4181/Clannad__After_Story,https://cdn.myanimelist.net/images/anime/1299/110774.jpg,8.931,18,124,44523,852494,22017,18293,330206,1267533,73083,TV,24,Finished Airing,"Oct 3, 2008 to Mar 27, 2009",Fall 2008,Fridays at 01,"Pony Canyon, TBS, Rakuonsha, Animation Do",Sentai Filmworks,Kyoto Animation,Visual novel,"Drama, Romance",,24 min. per ep.,PG-13 - Teens 13 or older
Gintama,https://myanimelist.net/anime/918/Gintama,https://cdn.myanimelist.net/images/anime/10/73274.jpg,8.931,19,146,215181,353978,128590,58912,380784,1137445,61339,TV,201,Finished Airing,"Apr 4, 2006 to Mar 25, 2010",Spring 2006,Thursdays at 18,"TV Tokyo, Aniplex, Dentsu, Trinity Sound, Miracle Robo, Shueisha","Sentai Filmworks, Crunchyroll",Sunrise,Manga,"Action, Comedy, Sci-Fi",Shounen,24 min. per ep.,PG-13 - Teens 13 or older
Koe no Katachi,https://myanimelist.net/anime/28851/Koe_no_Katachi,https://cdn.myanimelist.net/images/anime/1122/96435.jpg,8.931,20,19,55647,2197593,7127,3616,290227,2554210,94510,Movie,1,Finished Airing,"Sep 17, 2016",,,"Shochiku, Pony Canyon, Kodansha, ABC Animation, Quaras","Eleven Arts, NYAV Post, GKIDS",Kyoto Animation,Manga,"Award Winning, Drama",Shounen,2 hr. 10 min.,PG-13 - Teens 13 or older
Kusuriya no Hitorigoto 2nd Season,https://myanimelist.net/anime/58514/Kusuriya_no_Hitorigoto_2nd_Season,https://cdn.myanimelist.net/images/anime/1025/147458.jpg,8.911,21,590,101541,232957,6220,2130,94914,437762,6642,TV,24,Finished Airing,"Jan 10, 2025 to Jul 4, 2025",Winter 2025,Fridays at 23,"Dentsu, Square Enix, Nippon Television Network, TOHO animation, Sound Team Don Juan, Shogakukan, Imagica Infos","None found, add some","OLM, TOHO animation STUDIO",Light novel,"Drama, Mystery",,24 min. per ep.,PG-13 - Teens 13 or older
Code Geass: Hangyaku no Lelouch R2,https://myanimelist.net/anime/2904/Code_Geass__Hangyaku_no_Lelouch_R2,https://cdn.myanimelist.net/images/anime/1088/135089.jpg,8.911,22,47,65855,1585205,27089,19571,220591,1918311,80144,TV,25,Finished Airing,"Apr 6, 2008 to Sep 28, 2008",Spring 2008,Sundays at 17,"Bandai Visual, Mainichi Broadcasting System, Bandai, Bandai Namco Entertainment, Hakuhodo DY Media Partners","Funimation, Bandai Entertainment",Sunrise,Original,"Award Winning, Drama, Sci-Fi",,24 min. per ep.,R - 17+ (violence & profanity)
3-gatsu no Lion 2nd Season,https://myanimelist.net/anime/35180/3-gatsu_no_Lion_2nd_Season,https://cdn.myanimelist.net/images/anime/3/88469.jpg,8.901,23,601,27840,248743,11123,6197,138329,432232,15362,TV,22,Finished Airing,"Oct 14, 2017 to Mar 31, 2018",Fall 2017,Saturdays at 23,"Aniplex, Dentsu, NHK, Hakusensha, Asmik Ace, Toy's Factory",Aniplex of America,Shaft,Manga,,Seinen,25 min. per ep.,PG-13 - Teens 13 or older
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,https://myanimelist.net/anime/15335/Gintama_Movie_2__Kanketsu-hen_-_Yorozuya_yo_Eien_Nare,https://cdn.myanimelist.net/images/anime/10/51723.jpg,8.891,24,1060,7020,183279,1892,1968,64934,259093,2152,Movie,1,Finished Airing,"Jul 6, 2013",,,"TV Tokyo, Aniplex, Dentsu, Bandai, Warner Bros. Japan, Shueisha","None found, add some",Sunrise,Manga,"Action, Comedy, Sci-Fi",Shounen,1 hr. 50 min.,PG-13 - Teens 13 or older
Monster,https://myanimelist.net/anime/19/Monster,https://cdn.myanimelist.net/images/anime/10/18793.jpg,8.891,25,119,174171,488482,92411,42713,488677,1286454,60253,TV,74,Finished Airing,"Apr 7, 2004 to Sep 28, 2005",Spring 2004,Wednesdays at 00,"VAP, Nippon Television Network, Arts Pro","VIZ Media, Discotek Media",Madhouse,Manga,"Drama, Mystery, Suspense",Seinen,24 min. per ep.,R+ - Mild Nudity
