title,url,img,score,rank,popularity,watching,completed,on_hold,dropped,plan_to_watch,members,favorites,type,episodes,status,aired,premiered,broadcast,producers,licensors,studios,Source,genres,demographic,duration,rating
Mob Psycho 100: Dai Ikkai Rei toka Soudansho Ian Ryokou - Kokoro Mitasu Iyashi no Tabi,https://myanimelist.net/anime/39651/Mob_Psycho_100__Dai_Ikkai_Rei_toka_Soudansho_Ian_Ryokou_-_Kokoro_Mitasu_Iyashi_no_Tabi,https://cdn.myanimelist.net/images/anime/1605/119301.jpg,7.651,1507,2111,1742,96650,633,290,17839,117154,89,OVA,1,Finished Airing,"Sep 25, 2019",,,"Warner Bros. Japan, KlockWorx, BS Fuji, Hakuhodo DY Music & Pictures, Shogakukan","None found, add some",Bones,Original,"Action, Comedy, Supernatural",,24 min.,PG-13 - Teens 13 or older
Non Non Biyori: Okinawa e Ikukoto ni Natta,https://myanimelist.net/anime/21667/Non_Non_Biyori__Okinawa_e_Ikukoto_ni_Natta,https://cdn.myanimelist.net/images/anime/7/63773.jpg,7.651,1508,2910,1113,54304,512,244,13610,69783,53,OVA,1,Finished Airing,"Jul 23, 2014",,,Media Factory,"None found, add some",SILVER LINK.,Manga,,Seinen,20 min.,PG-13 - Teens 13 or older
Psycho-Pass Movie 2: Providence,https://myanimelist.net/anime/52747/Psycho-Pass_Movie_2__Providence,https://cdn.myanimelist.net/images/anime/1244/134653.jpg,7.651,1509,3202,1572,20926,687,287,35010,58482,178,Movie,1,Finished Airing,"May 12, 2023",,,"Sony Pictures Entertainment, Dentsu, Fuji TV, TOHO, Nitroplus, Sony Music Entertainment, MAGNET",Crunchyroll,Production I.G,Original,"Action, Mystery, Sci-Fi, Suspense",,2 hr. 1 min.,R - 17+ (violence & profanity)
Kami nomi zo Shiru Sekai,https://myanimelist.net/anime/8525/Kami_nomi_zo_Shiru_Sekai,https://cdn.myanimelist.net/images/anime/2/43361.jpg,7.641,1510,365,28261,445985,16660,20612,145424,656942,5856,TV,12,Finished Airing,"Oct 7, 2010 to Dec 23, 2010",Fall 2010,Thursdays at 01,"TV Tokyo, Geneon Universal Entertainment",Sentai Filmworks,Manglobe,Manga,"Comedy, Romance, Supernatural",Shounen,23 min. per ep.,PG-13 - Teens 13 or older
Kimi to Boku.,https://myanimelist.net/anime/10460/Kimi_to_Boku,https://cdn.myanimelist.net/images/anime/4/34949.jpg,7.641,1511,1391,10696,81359,6985,8667,87210,194917,1412,TV,13,Finished Airing,"Oct 4, 2011 to Dec 27, 2011",Fall 2011,Tuesdays at 01,"TV Tokyo, Aniplex, Square Enix, Nihon Ad Systems, Movic","None found, add some",J.C.Staff,Manga,,Shounen,24 min. per ep.,PG-13 - Teens 13 or older
Konnichiwa Anne: Before Green Gables,https://myanimelist.net/anime/5494/Konnichiwa_Anne__Before_Green_Gables,https://cdn.myanimelist.net/images/anime/13/54069.jpg,7.641,1512,7326,527,3318,417,395,4593,9250,54,TV,39,Finished Airing,"Apr 5, 2009 to Dec 27, 2009",Spring 2009,Sundays at 19,"None found, add some","None found, add some",Nippon Animation,Novel,,,23 min. per ep.,G - All Ages
Kuroko no Basket NG-shuu,https://myanimelist.net/anime/15487/Kuroko_no_Basket_NG-shuu,https://cdn.myanimelist.net/images/anime/12/42751.jpg,7.641,1513,2921,1738,56305,874,576,10000,69493,55,Special,9,Finished Airing,"Jul 27, 2012 to Mar 22, 2013",,,"None found, add some","None found, add some",Production I.G,Manga,"Comedy, Sports",Shounen,4 min. per ep.,PG-13 - Teens 13 or older
Ling Long: Incarnation Part 2,https://myanimelist.net/anime/42290/Ling_Long__Incarnation_Part_2,https://cdn.myanimelist.net/images/anime/1318/109517.jpg,7.641,1514,10860,279,1696,59,119,1005,3158,22,ONA,6,Finished Airing,"Jul 31, 2020 to Oct 9, 2020",,,bilibili,"None found, add some",YHKT Entertainment,Original,"Action, Drama, Horror, Sci-Fi, Suspense",,33 min. per ep.,R - 17+ (violence & profanity)
Meitantei Conan Movie 10: Tantei-tachi no Requiem Recap,https://myanimelist.net/anime/7305/Meitantei_Conan_Movie_10__Tantei-tachi_no_Requiem_Recap,https://cdn.myanimelist.net/images/anime/2/17584.jpg,7.641,1515,6804,226,8398,128,271,2031,11054,4,TV Special,1,Finished Airing,2006,,,"None found, add some","None found, add some",TMS Entertainment,Manga,"Adventure, Comedy, Mystery",Shounen,23 min.,PG-13 - Teens 13 or older
Minami-ke Tadaima,https://myanimelist.net/anime/14511/Minami-ke_Tadaima,https://cdn.myanimelist.net/images/anime/7/53133.jpg,7.641,1516,3119,3298,36275,1588,1260,19281,61702,82,TV,13,Finished Airing,"Jan 6, 2013 to Mar 31, 2013",Winter 2013,Sundays at 01,"None found, add some",Funimation,feel.,Manga,,Seinen,24 min. per ep.,PG-13 - Teens 13 or older
Mitsudomoe Zouryouchuu!,https://myanimelist.net/anime/9510/Mitsudomoe_Zouryouchuu,https://cdn.myanimelist.net/images/anime/11/71554.jpg,7.641,1517,3546,1645,36581,799,834,8949,48808,91,TV,8,Finished Airing,"Jan 9, 2011 to Feb 27, 2011",Winter 2011,Sundays at 02,"Lantis, Cospa, Studio Mausu","None found, add some",Bridge,Manga,,Shounen,24 min. per ep.,PG-13 - Teens 13 or older
Natsume Yuujinchou: Nyanko-sensei to Hajimete no Otsukai,https://myanimelist.net/anime/18849/Natsume_Yuujinchou__Nyanko-sensei_to_Hajimete_no_Otsukai,https://cdn.myanimelist.net/images/anime/5/51431.jpg,7.641,1518,4031,757,28013,369,227,9351,38717,34,Special,1,Finished Airing,"Dec 15, 2013",,,"Aniplex, Nihon Ad Systems, Ai Addiction","None found, add some",Brain's Base,Manga,"Slice of Life, Supernatural",Shoujo,22 min.,PG-13 - Teens 13 or older
Oniichan wa Oshimai!,https://myanimelist.net/anime/51678/Oniichan_wa_Oshimai,https://cdn.myanimelist.net/images/anime/1058/131632.jpg,7.641,1519,1483,19761,97692,5346,10998,47421,181218,2636,TV,12,Finished Airing,"Jan 5, 2023 to Mar 23, 2023",Winter 2023,Thursdays at 23,"Pony Canyon, Movic, AT-X, TOHO animation, Tokyo MX, Hakuhodo DY Music & Pictures, BS11, Egg Firm, Ichijinsha, Bit grooove promotion, Pia, Toho Music","None found, add some",Studio Bind,Manga,,Shounen,23 min. per ep.,PG-13 - Teens 13 or older
Pandora Hearts,https://myanimelist.net/anime/5530/Pandora_Hearts,https://cdn.myanimelist.net/images/anime/4/75535.jpg,7.641,1520,573,26771,225090,22012,21653,153706,449232,5289,TV,25,Finished Airing,"Apr 3, 2009 to Sep 25, 2009",Spring 2009,Fridays at 01,"Square Enix, TBS, flying DOG",NIS America,Xebec,Manga,"Adventure, Fantasy, Mystery",Shounen,24 min. per ep.,PG-13 - Teens 13 or older
Project Sekai Movie: Kowareta Sekai to Utaenai Miku,https://myanimelist.net/anime/59419/Project_Sekai_Movie__Kowareta_Sekai_to_Utaenai_Miku,https://cdn.myanimelist.net/images/anime/1883/144526.jpg,7.641,1521,4607,994,11499,329,106,16124,29052,438,Movie,1,Finished Airing,"Jan 17, 2025",,,"Shochiku, Sega, Magic Capsule, CyberAgent",GKIDS,P.A. Works,Game,,,1 hr. 45 min.,PG-13 - Teens 13 or older
Rokuhou-dou Yotsuiro Biyori,https://myanimelist.net/anime/36513/Rokuhou-dou_Yotsuiro_Biyori,https://cdn.myanimelist.net/images/anime/1015/90727.jpg,7.641,1522,4105,3315,16741,1186,1786,14089,37117,226,TV,12,Finished Airing,"Apr 11, 2018 to Jun 27, 2018",Spring 2018,Wednesdays at 00,"None found, add some","None found, add some",Zexcs,Manga,"Gourmet, Slice of Life",Seinen,23 min. per ep.,PG-13 - Teens 13 or older
Seikai no Senki,https://myanimelist.net/anime/396/Seikai_no_Senki,https://cdn.myanimelist.net/images/anime/11/61111.jpg,7.641,1523,4147,1613,20023,949,833,12976,36394,282,TV,13,Finished Airing,"Apr 14, 2000 to Jul 14, 2000",Spring 2000,Unknown,"Bandai Visual, WOWOW","Funimation, Bandai Entertainment",Sunrise,Light novel,"Action, Romance, Sci-Fi",,25 min. per ep.,PG-13 - Teens 13 or older
Shin Mazinger Shougeki! Z-hen,https://myanimelist.net/anime/5485/Shin_Mazinger_Shougeki_Z-hen,https://cdn.myanimelist.net/images/anime/1022/92865.jpg,7.641,1524,5681,1226,7163,854,975,7165,17383,165,TV,26,Finished Airing,"Apr 4, 2009 to Sep 26, 2009",Spring 2009,Saturdays at 23,"Bandai Visual, Lantis, Dynamic Planning",Discotek Media,"Bee Media, Code",Manga,,Shounen,23 min. per ep.,R - 17+ (violence & profanity)
Tondemo Skill de Isekai Hourou Meshi,https://myanimelist.net/anime/53446/Tondemo_Skill_de_Isekai_Hourou_Meshi,https://cdn.myanimelist.net/images/anime/1661/131889.jpg,7.641,1525,867,28835,227475,4736,8607,47070,316723,2368,TV,12,Finished Airing,"Jan 11, 2023 to Mar 29, 2023",Winter 2023,Wednesdays at 00,dugout,Crunchyroll,MAPPA,Light novel,"Adventure, Comedy, Fantasy, Gourmet",,23 min. per ep.,PG-13 - Teens 13 or older
Tsuritama,https://myanimelist.net/anime/12883/Tsuritama,https://cdn.myanimelist.net/images/anime/4/69909.jpg,7.641,1526,1531,9661,74513,7598,7959,75879,175610,2307,TV,12,Finished Airing,"Apr 13, 2012 to Jun 29, 2012",Spring 2012,Fridays at 01,"Aniplex, Dentsu, Fuji TV, Sakura Create",Sentai Filmworks,A-1 Pictures,Original,"Comedy, Sci-Fi",,23 min. per ep.,PG-13 - Teens 13 or older
Working!!,https://myanimelist.net/anime/6956/Working,https://cdn.myanimelist.net/images/anime/10/75262.jpg,7.641,1527,564,20029,272813,12442,13685,132332,451301,2533,TV,13,Finished Airing,"Apr 4, 2010 to Jun 27, 2010",Spring 2010,Sundays at 23,"Aniplex, Rakuonsha",NIS America,A-1 Pictures,4-koma manga,"Comedy, Romance",Seinen,24 min. per ep.,PG-13 - Teens 13 or older
Yama no Susume: Next Summit,https://myanimelist.net/anime/48491/Yama_no_Susume__Next_Summit,https://cdn.myanimelist.net/images/anime/1942/126897.jpg,7.641,1528,4662,3079,9257,766,898,14243,28243,119,TV,12,Finished Airing,"Oct 5, 2022 to Dec 21, 2022",Fall 2022,Wednesdays at 00,"Earth Star Entertainment, Good Smile Company, King Records, Kadokawa, Culture Entertainment",Sentai Filmworks,8bit,Manga,"Adventure, Slice of Life",,24 min. per ep.,PG-13 - Teens 13 or older
Akebi-chan no Sailor-fuku,https://myanimelist.net/anime/48553/Akebi-chan_no_Sailor-fuku,https://cdn.myanimelist.net/images/anime/1820/120520.jpg,7.641,1529,1303,24337,85916,8357,14076,76847,209533,1222,TV,12,Finished Airing,"Jan 9, 2022 to Mar 27, 2022",Winter 2022,Sundays at 00,"Aniplex, Shueisha, BS Asahi","None found, add some",CloverWorks,Web manga,,Seinen,23 min. per ep.,PG-13 - Teens 13 or older
Ansatsu Kyoushitsu: Kagaijugyou-hen,https://myanimelist.net/anime/32863/Ansatsu_Kyoushitsu__Kagaijugyou-hen,https://cdn.myanimelist.net/images/anime/1807/96939.jpg,7.641,1530,2766,2278,49018,1428,939,22469,76132,174,ONA,8,Finished Airing,"Mar 11, 2016 to May 20, 2016",,,"None found, add some","None found, add some",Lerche,Manga,"Action, Comedy",Shounen,5 min. per ep.,PG-13 - Teens 13 or older
Arashi no Yoru ni,https://myanimelist.net/anime/1961/Arashi_no_Yoru_ni,https://cdn.myanimelist.net/images/anime/9/5064.jpg,7.641,1531,4863,633,15885,267,317,8483,25585,221,Movie,1,Finished Airing,"Dec 10, 2005",,,"Mainichi Broadcasting System, TBS, TOHO, SEDIC International, Hakuhodo DY Music & Pictures, Mainichi Shimbun","None found, add some",Group TAC,Book,"Adventure, Comedy, Drama, Fantasy",,1 hr. 47 min.,G - All Ages
Code Geass: Hangyaku no Lelouch II - Handou,https://myanimelist.net/anime/34439/Code_Geass__Hangyaku_no_Lelouch_II_-_Handou,https://cdn.myanimelist.net/images/anime/13/89275.jpg,7.641,1532,2647,1914,48012,975,733,30349,81983,115,Movie,1,Finished Airing,"Feb 10, 2018",,,"None found, add some",Funimation,Sunrise,Original,,,2 hr. 12 min.,R - 17+ (violence & profanity)
Date A Bullet: Nightmare or Queen,https://myanimelist.net/anime/42423/Date_A_Bullet__Nightmare_or_Queen,https://cdn.myanimelist.net/images/anime/1002/108424.jpg,7.641,1533,2673,2033,53180,747,316,24394,80670,340,Movie,1,Finished Airing,"Nov 13, 2020",,,Nippon Columbia,"None found, add some",Geek Toys,Light novel,"Action, Fantasy, Sci-Fi",,29 min.,PG-13 - Teens 13 or older
Dekiru Neko wa Kyou mo Yuuutsu,https://myanimelist.net/anime/51916/Dekiru_Neko_wa_Kyou_mo_Yuuutsu,https://cdn.myanimelist.net/images/anime/1074/136720.jpg,7.641,1534,2024,16645,56580,4686,7639,37585,123135,745,TV,13,Finished Airing,"Jul 8, 2023 to Sep 30, 2023",Summer 2023,Saturdays at 02,"Frontier Works, Mainichi Broadcasting System, Kodansha, Movic, Hakuhodo DY Music & Pictures, DMM.com","None found, add some",GoHands,Manga,,,23 min. per ep.,PG-13 - Teens 13 or older
Di Yi Xulie,https://myanimelist.net/anime/55733/Di_Yi_Xulie,https://cdn.myanimelist.net/images/anime/1130/137242.jpg,7.641,1535,12190,311,988,65,118,674,2156,23,ONA,16,Finished Airing,"Jul 19, 2023 to Oct 25, 2023",,,"Tencent Animation & Comics, bilibili","None found, add some",Passion Paint Animation,Web novel,"Action, Adventure, Fantasy, Sci-Fi",,19 min. per ep.,PG-13 - Teens 13 or older
Doraemon Movie 26: Nobita no Kyouryuu 2006,https://myanimelist.net/anime/2392/Doraemon_Movie_26__Nobita_no_Kyouryuu_2006,https://cdn.myanimelist.net/images/anime/9/72431.jpg,7.641,1536,5546,271,16765,88,207,1183,18514,32,Movie,1,Finished Airing,"Mar 4, 2006",,,Shogakukan Productions,"None found, add some",Shin-Ei Animation,Unknown,"Adventure, Comedy",Kids,1 hr. 46 min.,PG - Children
Doraemon Movie 44: Nobita no E Sekai Monogatari,https://myanimelist.net/anime/59980/Doraemon_Movie_44__Nobita_no_E_Sekai_Monogatari,https://cdn.myanimelist.net/images/anime/1143/146877.jpg,7.641,1537,13495,60,656,24,39,676,1455,8,Movie,1,Finished Airing,"Mar 7, 2025",,,"None found, add some","None found, add some",Shin-Ei Animation,Manga,"Action, Adventure, Fantasy",Kids,1 hr. 45 min.,PG - Children
Doupo Cangqiong Special 1,https://myanimelist.net/anime/36561/Doupo_Cangqiong_Special_1,https://cdn.myanimelist.net/images/anime/2/88360.jpg,7.641,1538,8377,431,5262,62,137,740,6632,32,ONA,2,Finished Airing,"Sep 30, 2017 to Oct 7, 2017",,,"Tencent Video, China Literature Limited","None found, add some",Motion Magic,Web novel,"Action, Adventure, Fantasy",,25 min. per ep.,PG-13 - Teens 13 or older
Full Metal Panic! The Second Raid: Wari to Hima na Sentaichou no Ichinichi,https://myanimelist.net/anime/1015/Full_Metal_Panic_The_Second_Raid__Wari_to_Hima_na_Sentaichou_no_Ichinichi,https://cdn.myanimelist.net/images/anime/3/23458.jpg,7.641,1539,2826,1121,59790,563,321,11883,73678,99,Special,1,Finished Airing,"May 26, 2006",,,"Kadokawa Shoten, Happinet Pictures","Funimation, Kadokawa Pictures USA",Kyoto Animation,Manga,,,30 min.,PG-13 - Teens 13 or older
Gakuen Alice,https://myanimelist.net/anime/74/Gakuen_Alice,https://cdn.myanimelist.net/images/anime/4/18118.jpg,7.641,1540,2249,3669,72424,3442,3598,22598,105731,1509,TV,26,Finished Airing,"Oct 30, 2004 to May 14, 2005",Fall 2004,Saturdays at 08,"Aniplex, Sogo Vision",Nozomi Entertainment,Group TAC,Manga,,Shoujo,25 min. per ep.,G - All Ages
Hanma Baki: Son of Ogre,https://myanimelist.net/anime/42940/Hanma_Baki__Son_of_Ogre,https://cdn.myanimelist.net/images/anime/1628/119353.jpg,7.641,1541,1413,7043,159312,1646,1370,22342,191713,721,ONA,12,Finished Airing,"Sep 30, 2021",,,"None found, add some","None found, add some",TMS Entertainment,Manga,,Shounen,24 min. per ep.,R - 17+ (violence & profanity)
30-sai made Doutei dato Mahoutsukai ni Nareru Rashii,https://myanimelist.net/anime/55973/30-sai_made_Doutei_dato_Mahoutsukai_ni_Nareru_Rashii,https://cdn.myanimelist.net/images/anime/1762/139690.jpg,7.631,1542,2533,9936,51268,1804,3773,21029,87810,871,TV,12,Finished Airing,"Jan 11, 2024 to Mar 28, 2024",Winter 2024,Thursdays at 00,"TV Tokyo, Square Enix, Sotsu, TV Osaka, DAX Production, Avex Pictures, TV Aichi, BS TV Tokyo, MAGNET","None found, add some",Satelight,Manga,"Boys Love, Comedy",,23 min. per ep.,PG-13 - Teens 13 or older
5-toubun no Hanayome,https://myanimelist.net/anime/38101/5-toubun_no_Hanayome,https://cdn.myanimelist.net/images/anime/1819/97947.jpg,7.631,1543,172,44867,839092,13938,23102,123691,1044690,14482,TV,12,Finished Airing,"Jan 11, 2019 to Mar 29, 2019",Winter 2019,Fridays at 01,"Pony Canyon, Kodansha, ZERO-A, GYAO!, eNa",Funimation,Tezuka Productions,Manga,"Comedy, Romance",Shounen,24 min. per ep.,PG-13 - Teens 13 or older
Aggressive Retsuko (ONA),https://myanimelist.net/anime/36904/Aggressive_Retsuko_ONA,https://cdn.myanimelist.net/images/anime/1566/129181.jpg,7.631,1544,1399,6256,159350,3823,4548,19525,193502,1391,ONA,10,Finished Airing,"Apr 20, 2018",,,"Sanrio, Netflix","None found, add some",Fanworks,Other,,,15 min. per ep.,PG-13 - Teens 13 or older
Ao Haru Ride,https://myanimelist.net/anime/21995/Ao_Haru_Ride,https://cdn.myanimelist.net/images/anime/8/64813.jpg,7.631,1545,184,42793,702017,19090,20387,213715,998002,11287,TV,12,Finished Airing,"Jul 8, 2014 to Sep 23, 2014",Summer 2014,Tuesdays at 00,"Mainichi Broadcasting System, Movic, Sony Music Entertainment, TOHO animation, Shueisha, BS11, Animatic, Hakuhodo DY Media Partners, Sony PCL",Sentai Filmworks,Production I.G,Manga,,Shoujo,23 min. per ep.,PG-13 - Teens 13 or older
Bishoujo Senshi Sailor Moon SuperS,https://myanimelist.net/anime/1239/Bishoujo_Senshi_Sailor_Moon_SuperS,https://cdn.myanimelist.net/images/anime/1600/92253.jpg,7.631,1546,1958,3763,97152,2677,1639,23037,128268,583,TV,39,Finished Airing,"Mar 4, 1995 to Mar 2, 1996",Spring 1995,Saturdays at 19,"TV Asahi, Toei Advertising","VIZ Media, Geneon Entertainment USA",Toei Animation,Manga,,Shoujo,24 min. per ep.,PG-13 - Teens 13 or older
Bokura wa Minna Kawai-sou: Hajimete no,https://myanimelist.net/anime/24913/Bokura_wa_Minna_Kawai-sou__Hajimete_no,https://cdn.myanimelist.net/images/anime/12/71613.jpg,7.631,1547,3379,1223,41972,430,252,9445,53322,40,Special,1,Finished Airing,"Jan 30, 2015",,,"None found, add some",Sentai Filmworks,Brain's Base,Manga,,Seinen,23 min.,PG-13 - Teens 13 or older
Cardcaptor Sakura Movie 1,https://myanimelist.net/anime/371/Cardcaptor_Sakura_Movie_1,https://cdn.myanimelist.net/images/anime/1733/90336.jpg,7.631,1548,2255,1118,90234,611,357,12925,105245,219,Movie,1,Finished Airing,"Aug 21, 1999",,,"Bandai Visual, Shochiku, Shelty","Nelvana, Discotek Media, Geneon Entertainment USA",Madhouse,Manga,"Award Winning, Comedy, Drama",Shoujo,1 hr. 21 min.,PG - Children
Daa! Daa! Daa!,https://myanimelist.net/anime/233/Daa_Daa_Daa,https://cdn.myanimelist.net/images/anime/3/21166.jpg,7.631,1549,4719,1908,14818,2158,1882,6831,27597,260,TV,78,Finished Airing,"Mar 28, 2000 to Feb 26, 2002",Spring 2000,Tuesdays at 18,"NHK, Sogo Vision, NHK Enterprises","None found, add some",J.C.Staff,Manga,"Comedy, Sci-Fi",Shoujo,25 min. per ep.,G - All Ages
Doraemon Movie 33: Nobita no Himitsu Dougu Museum,https://myanimelist.net/anime/15925/Doraemon_Movie_33__Nobita_no_Himitsu_Dougu_Museum,https://cdn.myanimelist.net/images/anime/4/72438.jpg,7.631,1550,7079,155,8904,66,179,811,10115,15,Movie,1,Finished Airing,"Mar 9, 2013",,,"TV Asahi, Asatsu DK, TOHO","None found, add some",Shin-Ei Animation,Unknown,"Adventure, Comedy, Fantasy",,1 hr. 44 min.,PG - Children
Drifters: Special Edition,https://myanimelist.net/anime/33032/Drifters__Special_Edition,https://cdn.myanimelist.net/images/anime/1141/97770.jpg,7.631,1551,4155,1089,26170,393,436,8202,36290,26,OVA,1,Finished Airing,"Jun 6, 2016",,,NBCUniversal Entertainment Japan,"None found, add some",Hoods Entertainment,Manga,"Action, Adventure, Comedy, Fantasy",Seinen,41 min.,R - 17+ (violence & profanity)
Genshiken,https://myanimelist.net/anime/240/Genshiken,https://cdn.myanimelist.net/images/anime/1890/94707.jpg,7.631,1552,1422,7922,91931,5987,5683,78289,189812,1534,TV,12,Finished Airing,"Oct 11, 2004 to Dec 27, 2004",Fall 2004,Mondays at 00,"Genco, Lantis, Kids Station, Magic Capsule, Toshiba Entertainment",Media Blasters,Palm Studio,Manga,,Seinen,25 min. per ep.,PG-13 - Teens 13 or older
Hachimitsu to Clover Specials,https://myanimelist.net/anime/644/Hachimitsu_to_Clover_Specials,https://cdn.myanimelist.net/images/anime/1657/106011.jpg,7.631,1553,4379,503,23102,469,345,8032,32451,41,Special,2,Finished Airing,"Dec 23, 2005 to Feb 24, 2006",,,"None found, add some",VIZ Media,J.C.Staff,Manga,"Comedy, Drama, Romance",Josei,22 min. per ep.,PG-13 - Teens 13 or older
Heartcatch Precure! Movie: Hana no Miyako de Fashion Show... desu ka!?,https://myanimelist.net/anime/9288/Heartcatch_Precure_Movie__Hana_no_Miyako_de_Fashion_Show_desu_ka,https://cdn.myanimelist.net/images/anime/5/25737.jpg,7.631,1554,7463,204,6265,123,198,2054,8844,14,Movie,1,Finished Airing,"Oct 30, 2010",,,"None found, add some","None found, add some",Toei Animation,Original,,,1 hr. 13 min.,G - All Ages
Inuyashiki,https://myanimelist.net/anime/34542/Inuyashiki,https://cdn.myanimelist.net/images/anime/7/88471.jpg,7.631,1555,336,39927,409704,16359,23204,205214,694408,4052,TV,11,Finished Airing,"Oct 13, 2017 to Dec 22, 2017",Fall 2017,Fridays at 00,"Aniplex, Dentsu, Kodansha, Fuji TV, DMM pictures","None found, add some",MAPPA,Manga,"Action, Drama, Sci-Fi, Suspense",Seinen,22 min. per ep.,R - 17+ (violence & profanity)
Kidou Senshi Gundam: GQuuuuuuX - Beginning,https://myanimelist.net/anime/61295/Kidou_Senshi_Gundam__GQuuuuuuX_-_Beginning,https://cdn.myanimelist.net/images/anime/1351/150112.jpg,7.631,1556,7407,602,4520,139,102,3660,9023,20,Movie,1,Finished Airing,"Jan 17, 2025",,,Bandai Namco Filmworks,"None found, add some","Sunrise, Khara",Original,,,1 hr. 21 min.,PG-13 - Teens 13 or older
Long Zu II: Daowangzhe Zhi Tong,https://myanimelist.net/anime/59662/Long_Zu_II__Daowangzhe_Zhi_Tong,https://cdn.myanimelist.net/images/anime/1577/147273.jpg,7.631,1557,6389,4155,2246,294,262,5881,12838,59,ONA,24,Finished Airing,"Jul 18, 2025 to Dec 12, 2025",,,Tencent Video,"None found, add some",GARDEN Culture,Novel,"Adventure, Fantasy",,24 min. per ep.,PG-13 - Teens 13 or older
Machikado Mazoku,https://myanimelist.net/anime/39071/Machikado_Mazoku,https://cdn.myanimelist.net/images/anime/1633/111518.jpg,7.631,1558,1505,15447,82797,5960,6442,68316,178962,1251,TV,12,Finished Airing,"Jul 12, 2019 to Sep 27, 2019",Summer 2019,Fridays at 01,"Pony Canyon, TBS, Houbunsha, Medicos Entertainment, RAY",Sentai Filmworks,J.C.Staff,4-koma manga,,,24 min. per ep.,PG-13 - Teens 13 or older
Minami-ke,https://myanimelist.net/anime/2963/Minami-ke,https://cdn.myanimelist.net/images/anime/2/75279.jpg,7.631,1559,1484,8466,92052,6032,6247,68468,181265,1096,TV,13,Finished Airing,"Oct 8, 2007 to Dec 31, 2007",Fall 2007,Mondays at 01,"Starchild Records, Magic Capsule, Eye Move, Sunny Side Up","None found, add some",Daume,Manga,,Seinen,24 min. per ep.,PG-13 - Teens 13 or older
Orange,https://myanimelist.net/anime/32729/Orange,https://cdn.myanimelist.net/images/anime/1415/102477.jpg,7.631,1560,229,49544,537133,23923,31092,244760,886452,7366,TV,13,Finished Airing,"Jul 4, 2016 to Sep 26, 2016",Summer 2016,Mondays at 00,"TMS Entertainment, DAX Production, TOHO animation, Lawson, ABC Animation, MediaLink Entertainment Limited","Funimation, Crunchyroll",Telecom Animation Film,Manga,"Drama, Romance, Sci-Fi",Shoujo,24 min. per ep.,PG-13 - Teens 13 or older
Overlord Movie 1: Fushisha no Ou,https://myanimelist.net/anime/34161/Overlord_Movie_1__Fushisha_no_Ou,https://cdn.myanimelist.net/images/anime/12/87759.jpg,7.631,1561,2372,3093,56318,1029,1433,35826,97699,143,Movie,1,Finished Airing,"Feb 25, 2017",,,"None found, add some","None found, add some",Madhouse,Light novel,"Action, Adventure, Fantasy",,1 hr. 42 min.,R - 17+ (violence & profanity)
Poyopoyo Kansatsu Nikki,https://myanimelist.net/anime/12021/Poyopoyo_Kansatsu_Nikki,https://cdn.myanimelist.net/images/anime/11/35455.jpg,7.631,1562,5079,2718,11020,1750,1783,5809,23080,155,TV,52,Finished Airing,"Jan 8, 2012 to Dec 30, 2012",Winter 2012,Sundays at Unknown,"DAX Production, Dream Creation, Möbius Tone","None found, add some",Studio Deen,4-koma manga,,Seinen,3 min. per ep.,PG - Children
Rurouni Kenshin: Meiji Kenkaku Romantan (2023),https://myanimelist.net/anime/50613/Rurouni_Kenshin__Meiji_Kenkaku_Romantan_2023,https://cdn.myanimelist.net/images/anime/1599/136532.jpg,7.631,1563,1733,26884,55699,8225,10129,48216,149153,909,TV,24,Finished Airing,"Jul 7, 2023 to Dec 15, 2023",Summer 2023,Fridays at 00,"Aniplex, Dentsu, Animax, Fuji TV, Shueisha",Aniplex of America,LIDENFILMS,Manga,,Shounen,22 min. per ep.,R - 17+ (violence & profanity)
Sasaki to Miyano: Koi ni Kizuku Mae no Chotto Shita Hanashi.,https://myanimelist.net/anime/50672/Sasaki_to_Miyano__Koi_ni_Kizuku_Mae_no_Chotto_Shita_Hanashi,https://cdn.myanimelist.net/images/anime/1669/145956.jpg,7.631,1564,3845,875,27275,202,221,13941,42514,218,OVA,1,Finished Airing,"Jul 27, 2022",,,"None found, add some","None found, add some",Studio Deen,Manga,,,23 min.,PG-13 - Teens 13 or older
Shounan Bakusouzoku,https://myanimelist.net/anime/2463/Shounan_Bakusouzoku,https://cdn.myanimelist.net/images/anime/1338/141478.jpg,7.631,1565,8051,752,1504,313,210,4511,7290,93,OVA,12,Finished Airing,"Sep 10, 1986 to Mar 12, 1999",,,"None found, add some",AnimEigo,Toei Animation,Manga,"Action, Comedy",Shounen,53 min. per ep.,R - 17+ (violence & profanity)
Sidonia no Kishi,https://myanimelist.net/anime/19775/Sidonia_no_Kishi,https://cdn.myanimelist.net/images/anime/12/53257.jpg,7.631,1566,1135,10978,143212,5759,8325,75190,243464,1538,TV,12,Finished Airing,"Apr 11, 2014 to Jun 27, 2014",Spring 2014,Unknown,"Starchild Records, Mainichi Broadcasting System, Kodansha, KlockWorx","Funimation, Sentai Filmworks",Polygon Pictures,Manga,,Seinen,25 min. per ep.,R+ - Mild Nudity
