rank,title,score,url,thumbnail
29,Shingeki no Kyojin: The Final Season - Kanketsu-hen,8.86,https://myanimelist.net/anime/51535/Shingeki_no_Kyojin__The_Final_Season_-_Kanketsu-hen,https://cdn.myanimelist.net/r/50x70/images/anime/1279/131078.jpg?s=d6d04a0dcc347ba55e0243b75b0ad5dd
30,Violet Evergarden Movie,8.84,https://myanimelist.net/anime/37987/Violet_Evergarden_Movie,https://cdn.myanimelist.net/r/50x70/images/anime/1825/110716.jpg?s=3ad8359182d0b47905f28d0a68683171
31,Kingdom 3rd Season,8.84,https://myanimelist.net/anime/40682/Kingdom_3rd_Season,https://cdn.myanimelist.net/r/50x70/images/anime/1443/111830.jpg?s=a67f547ff56d05b36123d793df962b45
32,Kimi no Na wa.,8.83,https://myanimelist.net/anime/32281/Kimi_no_Na_wa,https://cdn.myanimelist.net/r/50x70/images/anime/5/87048.jpg?s=2bca128fcb9dfd6d0908f3d9986576c6
33,Shingeki no Kyojin Movie: Kanketsu-hen - The Last Attack,8.83,https://myanimelist.net/anime/59571/Shingeki_no_Kyojin_Movie__Kanketsu-hen_-_The_Last_Attack,https://cdn.myanimelist.net/r/50x70/images/anime/1379/145452.jpg?s=068fab83784b6ed6b80552dca38b845f
34,Vinland Saga Season 2,8.82,https://myanimelist.net/anime/49387/Vinland_Saga_Season_2,https://cdn.myanimelist.net/r/50x70/images/anime/1170/124312.jpg?s=ea717ad18c8bf0f21078491e981e97a1
35,Gintama. Shirogane no Tamashii-hen,8.81,https://myanimelist.net/anime/36838/Gintama_Shirogane_no_Tamashii-hen,https://cdn.myanimelist.net/r/50x70/images/anime/12/89603.jpg?s=635cb89402d5d39f43767f3942e91206
36,Boku no Hero Academia: Final Season,8.8,https://myanimelist.net/anime/60098/Boku_no_Hero_Academia__Final_Season,https://cdn.myanimelist.net/r/50x70/images/anime/1959/151055.jpg?s=26ec5018c9c92887250742f247480e1e
37,Hajime no Ippo,8.78,https://myanimelist.net/anime/263/Hajime_no_Ippo,https://cdn.myanimelist.net/r/50x70/images/anime/4/86334.jpg?s=4b3096d30158e251d87c196e56c04e63
38,Shingeki no Kyojin: The Final Season,8.78,https://myanimelist.net/anime/40028/Shingeki_no_Kyojin__The_Final_Season,https://cdn.myanimelist.net/r/50x70/images/anime/1000/110531.jpg?s=3df5ebb6800604dc04c6a6187dd7161b
39,Takopii no Genzai,8.78,https://myanimelist.net/anime/60489/Takopii_no_Genzai,https://cdn.myanimelist.net/r/50x70/images/anime/1182/149879.jpg?s=cac1e53a20d4c76a6ab5c0a54c79ea30
40,Kizumonogatari III: Reiketsu-hen,8.78,https://myanimelist.net/anime/31758/Kizumonogatari_III__Reiketsu-hen,https://cdn.myanimelist.net/r/50x70/images/anime/1084/112813.jpg?s=db4fcf9c5e229584ca1b04bcebe2c3dc
41,Mob Psycho 100 II,8.78,https://myanimelist.net/anime/37510/Mob_Psycho_100_II,https://cdn.myanimelist.net/r/50x70/images/anime/1918/96303.jpg?s=b5b51cff7ba201e4f1acf37f4f44e224
42,Ashita no Joe 2,8.77,https://myanimelist.net/anime/2921/Ashita_no_Joe_2,https://cdn.myanimelist.net/r/50x70/images/anime/3/45028.jpg?s=bf58ff0c0759f78bf968a74ec535d0d2
43,Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,8.77,https://myanimelist.net/anime/32935/Haikyuu_Karasuno_Koukou_vs_Shiratorizawa_Gakuen_Koukou,https://cdn.myanimelist.net/r/50x70/images/anime/7/81992.jpg?s=6d977383e0b5dc1ba1c122213178e547
44,Sen to Chihiro no Kamikakushi,8.77,https://myanimelist.net/anime/199/Sen_to_Chihiro_no_Kamikakushi,https://cdn.myanimelist.net/r/50x70/images/anime/6/79597.jpg?s=1f170071bc9a54ce2ba3c0d8c7aa6927
45,Shingeki no Kyojin: The Final Season Part 2,8.77,https://myanimelist.net/anime/48583/Shingeki_no_Kyojin__The_Final_Season_Part_2,https://cdn.myanimelist.net/r/50x70/images/anime/1948/120625.jpg?s=53584a9c479506f8c779fb38b02d1a6d
