rank,title,score,url,thumbnail
616,BanG Dream! Ave Mujica,8.06,https://myanimelist.net/anime/56653/BanG_Dream_Ave_Mujica,https://cdn.myanimelist.net/r/50x70/images/anime/1181/148235.jpg?s=8b9d91a58604e40876cccc515610866b
617,City Hunter 2,8.06,https://myanimelist.net/anime/1471/City_Hunter_2,https://cdn.myanimelist.net/r/50x70/images/anime/1272/138953.jpg?s=010ed7872e7957e876b8d80173a9f767
618,Ginga Eiyuu Densetsu Gaiden (1999),8.06,https://myanimelist.net/anime/3665/Ginga_Eiyuu_Densetsu_Gaiden_1999,https://cdn.myanimelist.net/r/50x70/images/anime/1682/134157.jpg?s=106fc2a75025cb6d6ad6c6401283c71d
619,Gintama: Dai Hanseikai,8.06,https://myanimelist.net/anime/10643/Gintama__Dai_Hanseikai,https://cdn.myanimelist.net/r/50x70/images/anime/1725/110927.jpg?s=61ed517eb3df1154b632c0e3de5b0dc8
620,Angel Beats!,8.05,https://myanimelist.net/anime/6547/Angel_Beats,https://cdn.myanimelist.net/r/50x70/images/anime/1244/111115.jpg?s=14607c2ea405539df501e29595daa582
621,Boku no Hero Academia 2nd Season,8.05,https://myanimelist.net/anime/33486/Boku_no_Hero_Academia_2nd_Season,https://cdn.myanimelist.net/r/50x70/images/anime/12/85221.jpg?s=bc4bd0a738a03bfe9176c5d83dc6f65e
622,Douluo Dalu II: Jueshi Tangmen,8.05,https://myanimelist.net/anime/51836/Douluo_Dalu_II__Jueshi_Tangmen,https://cdn.myanimelist.net/r/50x70/images/anime/1985/150594.jpg?s=99a44a6ab83a481d46ab9033ba5e1e89
623,Durarara!!x2 Ketsu,8.05,https://myanimelist.net/anime/27833/Durararax2_Ketsu,https://cdn.myanimelist.net/r/50x70/images/anime/6/77838.jpg?s=feafc788625db86883c2e4eb99075c34
624,Hyouka,8.05,https://myanimelist.net/anime/12189/Hyouka,https://cdn.myanimelist.net/r/50x70/images/anime/13/50521.jpg?s=2b2e746fe9435f3a6eced51fef806b70
625,Kimetsu no Yaiba: Hashira Geiko-hen,8.05,https://myanimelist.net/anime/55701/Kimetsu_no_Yaiba__Hashira_Geiko-hen,https://cdn.myanimelist.net/r/50x70/images/anime/1565/142711.jpg?s=52f5a5b26acf7bf488368b1b809a4317
626,Kodomo no Omocha (TV),8.05,https://myanimelist.net/anime/1486/Kodomo_no_Omocha_TV,https://cdn.myanimelist.net/r/50x70/images/anime/5/7016.jpg?s=cc14a70b33c825ea4de80956f368a2fa
627,Mahoutsukai no Yome,8.05,https://myanimelist.net/anime/35062/Mahoutsukai_no_Yome,https://cdn.myanimelist.net/r/50x70/images/anime/3/88476.jpg?s=0dcaf8e0720f4a54712da5423b63bd1e
628,Meitantei Conan Movie 08: Ginyoku no Magician,8.05,https://myanimelist.net/anime/1367/Meitantei_Conan_Movie_08__Ginyoku_no_Magician,https://cdn.myanimelist.net/r/50x70/images/anime/2/20982.jpg?s=a85a5d40594b55a01bfbf3ed80cd674d
629,Meitantei Conan Movie 18: Ijigen no Sniper,8.05,https://myanimelist.net/anime/21419/Meitantei_Conan_Movie_18__Ijigen_no_Sniper,https://cdn.myanimelist.net/r/50x70/images/anime/11/60289.jpg?s=d2fdf973c66de09dbc084ce9fe99e661
630,NieR:Automata Ver1.1a Part 2,8.05,https://myanimelist.net/anime/56063/NieR_Automata_Ver11a_Part_2,https://cdn.myanimelist.net/r/50x70/images/anime/1364/143539.jpg?s=79c4b097ec730946efab8f03c0d4bb57
631,Shoushimin Series 2nd Season,8.05,https://myanimelist.net/anime/59828/Shoushimin_Series_2nd_Season,https://cdn.myanimelist.net/r/50x70/images/anime/1224/148321.jpg?s=0acd442685352f72b3f267120044cbe3
632,Sakura-sou no Pet na Kanojo,8.04,https://myanimelist.net/anime/13759/Sakura-sou_no_Pet_na_Kanojo,https://cdn.myanimelist.net/r/50x70/images/anime/4/43643.jpg?s=1e1470c34dd4b9a6fa6d0f3954ad12cc
633,Toradora!,8.04,https://myanimelist.net/anime/4224/Toradora,https://cdn.myanimelist.net/r/50x70/images/anime/13/22128.jpg?s=08c2b1b4a465fc43cbe15aae4a425b78
634,World Trigger 2nd Season,8.04,https://myanimelist.net/anime/40907/World_Trigger_2nd_Season,https://cdn.myanimelist.net/r/50x70/images/anime/1598/110462.jpg?s=3ac707ea7e4683d2e6fa1f76ffd11638
635,Yowamushi Pedal: Grande Road,8.04,https://myanimelist.net/anime/24277/Yowamushi_Pedal__Grande_Road,https://cdn.myanimelist.net/r/50x70/images/anime/12/67799.jpg?s=9f7ab84ae456218521e69fd6a2910610
636,Darker than Black: Kuro no Keiyakusha,8.04,https://myanimelist.net/anime/2025/Darker_than_Black__Kuro_no_Keiyakusha,https://cdn.myanimelist.net/r/50x70/images/anime/5/19570.jpg?s=869b2c2b8008243b789cc0481f3e916f
637,Dorohedoro,8.04,https://myanimelist.net/anime/38668/Dorohedoro,https://cdn.myanimelist.net/r/50x70/images/anime/1230/119278.jpg?s=2999ab7a8957276ad65cc282734deef1
638,FLCL,8.04,https://myanimelist.net/anime/227/FLCL,https://cdn.myanimelist.net/r/50x70/images/anime/7/77356.jpg?s=4c740722edcf938c372197fc31aaa060
639,Given Movie 2: Hiiragi Mix,8.04,https://myanimelist.net/anime/54791/Given_Movie_2__Hiiragi_Mix,https://cdn.myanimelist.net/r/50x70/images/anime/1095/140582.jpg?s=f6dcf14987d752214ece8ad8f024b144
640,Golden Boy,8.04,https://myanimelist.net/anime/268/Golden_Boy,https://cdn.myanimelist.net/r/50x70/images/anime/3/62867.jpg?s=1fc891d40870585d7957121152b79da1
641,Gosick,8.04,https://myanimelist.net/anime/8425/Gosick,https://cdn.myanimelist.net/r/50x70/images/anime/11/27906.jpg?s=3c526813037a0e2cfc51b726ada7d735
642,Gridman Universe,8.04,https://myanimelist.net/anime/50587/Gridman_Universe,https://cdn.myanimelist.net/r/50x70/images/anime/1897/133657.jpg?s=1775611f4cf93e6586963447d9c18937
643,Hikaru ga Shinda Natsu,8.04,https://myanimelist.net/anime/58913/Hikaru_ga_Shinda_Natsu,https://cdn.myanimelist.net/r/50x70/images/anime/1104/148614.jpg?s=04b233270d5640f07bb58696020c9007
644,JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 2,8.04,https://myanimelist.net/anime/51367/JoJo_no_Kimyou_na_Bouken_Part_6__Stone_Ocean_Part_2,https://cdn.myanimelist.net/r/50x70/images/anime/1051/121959.jpg?s=9631bec9b7b44ece60ba39fc4fd1c511
645,Koukyoushihen Eureka Seven,8.04,https://myanimelist.net/anime/237/Koukyoushihen_Eureka_Seven,https://cdn.myanimelist.net/r/50x70/images/anime/12/34443.jpg?s=9ff28fd69420f96622956e03c102ff28
646,Kuroko no Basket,8.04,https://myanimelist.net/anime/11771/Kuroko_no_Basket,https://cdn.myanimelist.net/r/50x70/images/anime/11/50453.jpg?s=419e78c3a3ba46a986f13baf27ab3f3e
647,Kuroshitsuji: Book of Murder,8.04,https://myanimelist.net/anime/23317/Kuroshitsuji__Book_of_Murder,https://cdn.myanimelist.net/r/50x70/images/anime/12/74392.jpg?s=0987131cf9a32537da2ae2e5d41c6692
648,Meitantei Conan Movie 03: Seikimatsu no Majutsushi,8.04,https://myanimelist.net/anime/781/Meitantei_Conan_Movie_03__Seikimatsu_no_Majutsushi,https://cdn.myanimelist.net/r/50x70/images/anime/1831/94317.jpg?s=10d6d5281a021c57a740c06923b1221d
649,Meitantei Conan Movie 25: Halloween no Hanayome,8.04,https://myanimelist.net/anime/49320/Meitantei_Conan_Movie_25__Halloween_no_Hanayome,https://cdn.myanimelist.net/r/50x70/images/anime/1744/120789.jpg?s=acd18f6836127b306eef0e2eb66a89df
650,No Game No Life,8.04,https://myanimelist.net/anime/19815/No_Game_No_Life,https://cdn.myanimelist.net/r/50x70/images/anime/1074/111944.jpg?s=3d63ffec8cd2a7f1e00e8dc15ef534f5
651,Omoide no Marnie,8.04,https://myanimelist.net/anime/21557/Omoide_no_Marnie,https://cdn.myanimelist.net/r/50x70/images/anime/7/64293.jpg?s=a10211dc7b1994a3f0048202b9dab8f7
652,One Piece Film: Strong World,8.04,https://myanimelist.net/anime/4155/One_Piece_Film__Strong_World,https://cdn.myanimelist.net/r/50x70/images/anime/1192/116784.jpg?s=ab8dc5d03ecadd39b7b9ddff4cfbfb82
653,Paprika,8.04,https://myanimelist.net/anime/1943/Paprika,https://cdn.myanimelist.net/r/50x70/images/anime/1929/93629.jpg?s=4327cca124fa632214290ceff6c2b997
654,Jibaku Shounen Hanako-kun 2 Part 2,8.03,https://myanimelist.net/anime/61339/Jibaku_Shounen_Hanako-kun_2_Part_2,https://cdn.myanimelist.net/r/50x70/images/anime/1484/150617.jpg?s=c4352253f0b908710e5d458281f1c7ab
655,Kill la Kill,8.03,https://myanimelist.net/anime/18679/Kill_la_Kill,https://cdn.myanimelist.net/r/50x70/images/anime/1464/111943.jpg?s=b350450d3d98aa57f05bb4fbdb9d5209
656,Lovely★Complex,8.03,https://myanimelist.net/anime/2034/Lovely★Complex,https://cdn.myanimelist.net/r/50x70/images/anime/11/75563.jpg?s=b1fa8caafd5a46b6f1d147d5d5fc7e33
657,Shijou Saikyou no Deshi Kenichi,8.03,https://myanimelist.net/anime/1559/Shijou_Saikyou_no_Deshi_Kenichi,https://cdn.myanimelist.net/r/50x70/images/anime/9/75515.jpg?s=d4a9af608762cfbf0717515ddb226f74
658,Akatsuki no Yona,8.03,https://myanimelist.net/anime/25013/Akatsuki_no_Yona,https://cdn.myanimelist.net/r/50x70/images/anime/9/64225.jpg?s=737ae431d2d534df34adc4da74b55d32
659,Black Lagoon,8.03,https://myanimelist.net/anime/889/Black_Lagoon,https://cdn.myanimelist.net/r/50x70/images/anime/1906/121592.jpg?s=84c7a5dfd8ce64bd60a80454c3cc2945
660,Fate/stay night: Unlimited Blade Works Prologue,8.03,https://myanimelist.net/anime/27821/Fate_stay_night__Unlimited_Blade_Works_Prologue,https://cdn.myanimelist.net/r/50x70/images/anime/9/67425.jpg?s=14c00022d56b6396f61e3c1813e27312
661,Black Lagoon: Roberta's Blood Trail,8.02,https://myanimelist.net/anime/4901/Black_Lagoon__Robertas_Blood_Trail,https://cdn.myanimelist.net/r/50x70/images/anime/8/75529.jpg?s=c8e88495ad56ad749fdb93320aea84b2
662,Dennou Coil,8.02,https://myanimelist.net/anime/2164/Dennou_Coil,https://cdn.myanimelist.net/r/50x70/images/anime/5/12844.jpg?s=613f2f1c8971c8ae279ec47a57d03e90
663,Glass no Kamen (2005),8.02,https://myanimelist.net/anime/1974/Glass_no_Kamen_2005,https://cdn.myanimelist.net/r/50x70/images/anime/7/75061.jpg?s=7bc28813c1a8ce26278afd9ded87fbe6
664,Hibike! Euphonium,8.02,https://myanimelist.net/anime/27989/Hibike_Euphonium,https://cdn.myanimelist.net/r/50x70/images/anime/1517/142072.jpg?s=b4febd8ba282aa4e4bf74a0a9d97f988
665,Karakai Jouzu no Takagi-san 2,8.02,https://myanimelist.net/anime/38993/Karakai_Jouzu_no_Takagi-san_2,https://cdn.myanimelist.net/r/50x70/images/anime/1393/107033.jpg?s=89cc9663cb4ea9130f8e4516bc78967d
666,Kidou Keisatsu Patlabor 2 the Movie,8.02,https://myanimelist.net/anime/1096/Kidou_Keisatsu_Patlabor_2_the_Movie,https://cdn.myanimelist.net/r/50x70/images/anime/6/74764.jpg?s=98d1a8a911aa09014a7887a76bdc702a
667,Mairimashita! Iruma-kun 2nd Season,8.02,https://myanimelist.net/anime/41402/Mairimashita_Iruma-kun_2nd_Season,https://cdn.myanimelist.net/r/50x70/images/anime/1527/113656.jpg?s=d48b6493a410e438c17fd8f6f838839b
668,Meitantei Conan Movie 04: Hitomi no Naka no Ansatsusha,8.03,https://myanimelist.net/anime/1363/Meitantei_Conan_Movie_04__Hitomi_no_Naka_no_Ansatsusha,https://cdn.myanimelist.net/r/50x70/images/anime/1196/94319.jpg?s=12e194ba735be838419b2e62f6cce314
669,Meitantei Conan Movie 10: Tantei-tachi no Requiem,8.02,https://myanimelist.net/anime/1506/Meitantei_Conan_Movie_10__Tantei-tachi_no_Requiem,https://cdn.myanimelist.net/r/50x70/images/anime/1919/94322.jpg?s=b762a79e523c9abe60b351351eebd99d
670,Naruto,8.02,https://myanimelist.net/anime/20/Naruto,https://cdn.myanimelist.net/r/50x70/images/anime/1141/142503.jpg?s=72e1fc2ba0d30e1607ab15de24dfc5f4
671,Omae Umasou da na,8.02,https://myanimelist.net/anime/9204/Omae_Umasou_da_na,https://cdn.myanimelist.net/r/50x70/images/anime/11/27167.jpg?s=e1dfd964c2386c34f30b8c26d571e3e4
672,Shadows House 2nd Season,8.02,https://myanimelist.net/anime/49782/Shadows_House_2nd_Season,https://cdn.myanimelist.net/r/50x70/images/anime/1634/124231.jpg?s=2821e12400f59d1b518466a869a8f030
673,Tsuki ga Kirei,8.02,https://myanimelist.net/anime/34822/Tsuki_ga_Kirei,https://cdn.myanimelist.net/r/50x70/images/anime/2/85592.jpg?s=2779f485c4943624755d02baad87cf51
674,Wan Sheng Jie 2,8.02,https://myanimelist.net/anime/42640/Wan_Sheng_Jie_2,https://cdn.myanimelist.net/r/50x70/images/anime/1040/112897.jpg?s=9361fee645f2f0c840b761e9dc12d70f
675,xxxHOLiC Shunmuki,8.02,https://myanimelist.net/anime/4918/xxxHOLiC_Shunmuki,https://cdn.myanimelist.net/r/50x70/images/anime/12/25079.jpg?s=8bdf6415930dbaa10b0ac70dac7ae5ff
676,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku OVA,8.02,https://myanimelist.net/anime/33161/Yahari_Ore_no_Seishun_Love_Comedy_wa_Machigatteiru_Zoku_OVA,https://cdn.myanimelist.net/r/50x70/images/anime/13/84052.jpg?s=e696b4a947b316ae6bd2385092bf1fbc
677,Yuru Camp△ Season 3,8.02,https://myanimelist.net/anime/53410/Yuru_Camp△_Season_3,https://cdn.myanimelist.net/r/50x70/images/anime/1178/142710.jpg?s=d8b996a16314da6b56dccee71da92c34
678,Slayers Next,8.01,https://myanimelist.net/anime/535/Slayers_Next,https://cdn.myanimelist.net/r/50x70/images/anime/1165/92536.jpg?s=dfdeb15db057e3df0721a85914f6a56f
679,Summer Wars,8.01,https://myanimelist.net/anime/5681/Summer_Wars,https://cdn.myanimelist.net/r/50x70/images/anime/1593/116751.jpg?s=1b3680b1d34d389170fae471881404e1
680,Tonikaku Kawaii: SNS,8.01,https://myanimelist.net/anime/44931/Tonikaku_Kawaii__SNS,https://cdn.myanimelist.net/r/50x70/images/anime/1765/122768.jpg?s=c7edd6303f42d4cff59f23be39c117ac
681,Wan Sheng Jie 3,8.01,https://myanimelist.net/anime/49587/Wan_Sheng_Jie_3,https://cdn.myanimelist.net/r/50x70/images/anime/1995/117071.jpg?s=1bf668f2c938a0d25bbb4f3e222ccf23
682,Apocalypse Hotel,8.01,https://myanimelist.net/anime/59675/Apocalypse_Hotel,https://cdn.myanimelist.net/r/50x70/images/anime/1511/148642.jpg?s=24ca661436c7eee8473ddc349ed1ff07
683,Full Metal Panic? Fumoffu,8.01,https://myanimelist.net/anime/72/Full_Metal_Panic_Fumoffu,https://cdn.myanimelist.net/r/50x70/images/anime/4/75260.jpg?s=c6f4502ac7b030698905172ec9085b5e
684,Ginga Nagareboshi Gin,8.01,https://myanimelist.net/anime/589/Ginga_Nagareboshi_Gin,https://cdn.myanimelist.net/r/50x70/images/anime/3/47461.jpg?s=107d326a187dccb8e6dbb7086a49047f
685,Juuni Kokuki,8.01,https://myanimelist.net/anime/153/Juuni_Kokuki,https://cdn.myanimelist.net/r/50x70/images/anime/6/50859.jpg?s=fecae9a4099617517e5681a2bfb80904
686,Kara no Kyoukai Movie 3: Tsuukaku Zanryuu,8.01,https://myanimelist.net/anime/3783/Kara_no_Kyoukai_Movie_3__Tsuukaku_Zanryuu,https://cdn.myanimelist.net/r/50x70/images/anime/4/21735.jpg?s=13ae77906c7b9c7063dbc7798c3cbafc
687,Kimi ni Todoke,8.01,https://myanimelist.net/anime/6045/Kimi_ni_Todoke,https://cdn.myanimelist.net/r/50x70/images/anime/1502/124384.jpg?s=8f4a4c61bbcc0f828619f85310bf6a70
688,Kono Subarashii Sekai ni Shukufuku wo! 2: Kono Subarashii Geijutsu ni Shukufuku wo!,8.01,https://myanimelist.net/anime/34626/Kono_Subarashii_Sekai_ni_Shukufuku_wo_2__Kono_Subarashii_Geijutsu_ni_Shukufuku_wo,https://cdn.myanimelist.net/r/50x70/images/anime/1115/98517.jpg?s=1f986ba1c1b3ff8177c65d9ac6021ac5
689,Mignon,8.01,https://myanimelist.net/anime/49430/Mignon,https://cdn.myanimelist.net/r/50x70/images/anime/1054/137743.jpg?s=6323e0f3697d623ef3f7720a6696b3aa
690,Mononoke Movie 1: Karakasa,8.01,https://myanimelist.net/anime/52107/Mononoke_Movie_1__Karakasa,https://cdn.myanimelist.net/r/50x70/images/anime/1903/142810.jpg?s=da968a42767d4f88b227910a4ed5e4bb
691,Pui Pui Molcar,8.01,https://myanimelist.net/anime/44235/Pui_Pui_Molcar,https://cdn.myanimelist.net/r/50x70/images/anime/1484/119197.jpg?s=7244eb5d210e6fce8f8d256db0ea0551
692,Kidou Senshi Gundam 0080: Pocket no Naka no Sensou,8.0,https://myanimelist.net/anime/82/Kidou_Senshi_Gundam_0080__Pocket_no_Naka_no_Sensou,https://cdn.myanimelist.net/r/50x70/images/anime/1839/92857.jpg?s=68472481ca664126734fbec859ea1cbe
693,Magi: The Labyrinth of Magic,8.0,https://myanimelist.net/anime/14513/Magi__The_Labyrinth_of_Magic,https://cdn.myanimelist.net/r/50x70/images/anime/11/42773.jpg?s=97c79399d2f65716e2972d3b30fc9c99
694,Meitantei Conan Movie 15: Chinmoku no Quarter,8.0,https://myanimelist.net/anime/9963/Meitantei_Conan_Movie_15__Chinmoku_no_Quarter,https://cdn.myanimelist.net/r/50x70/images/anime/9/32035.jpg?s=c599d1539667405c5043cd32440a02ba
695,Ranma ½ (2024),8.0,https://myanimelist.net/anime/59145/Ranma_½_2024,https://cdn.myanimelist.net/r/50x70/images/anime/1155/144299.jpg?s=920687c58fb9a8d7449ee09d58c1429b
696,Ruri no Houseki,8.0,https://myanimelist.net/anime/59791/Ruri_no_Houseki,https://cdn.myanimelist.net/r/50x70/images/anime/1431/148742.jpg?s=781cfd8ee894be123e7c4521fc214bb5
697,Saiunkoku Monogatari 2nd Season,8.0,https://myanimelist.net/anime/1914/Saiunkoku_Monogatari_2nd_Season,https://cdn.myanimelist.net/r/50x70/images/anime/1998/139962.jpg?s=c9cfb61614b698982e0471266e40d232
698,SK∞,8.0,https://myanimelist.net/anime/42923/SK∞,https://cdn.myanimelist.net/r/50x70/images/anime/1549/119195.jpg?s=26aec1dc363556177f1d6cf93cb86213
699,Toaru Kagaku no Railgun S,8.0,https://myanimelist.net/anime/16049/Toaru_Kagaku_no_Railgun_S,https://cdn.myanimelist.net/r/50x70/images/anime/1429/152870.jpg?s=6b2409344eb480a98166b2990c9fa929
700,Tokyo Magnitude 8.0,8.0,https://myanimelist.net/anime/6211/Tokyo_Magnitude_80,https://cdn.myanimelist.net/r/50x70/images/anime/1653/152734.jpg?s=d906993a6dfdb204c727fcf4c35a2e6c
701,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,8.0,https://myanimelist.net/anime/14813/Yahari_Ore_no_Seishun_Love_Comedy_wa_Machigatteiru,https://cdn.myanimelist.net/r/50x70/images/anime/1786/120117.jpg?s=d748acf12d1cd241e71525c2410f1716
702,5-toubun no Hanayome ∬,8.0,https://myanimelist.net/anime/39783/5-toubun_no_Hanayome_∬,https://cdn.myanimelist.net/r/50x70/images/anime/1775/109514.jpg?s=7223653b9c57b539ca603e6881f0b9af
703,Ao no Exorcist: Yosuga-hen,8.0,https://myanimelist.net/anime/59226/Ao_no_Exorcist__Yosuga-hen,https://cdn.myanimelist.net/r/50x70/images/anime/1390/147040.jpg?s=494845a1b479b308be76380f34d67c9f
704,Baby Steps 2nd Season,8.0,https://myanimelist.net/anime/27663/Baby_Steps_2nd_Season,https://cdn.myanimelist.net/r/50x70/images/anime/9/73683.jpg?s=b42406c3d3ea452a6bdaa925970c14c5
705,D.Gray-man,8.0,https://myanimelist.net/anime/1482/DGray-man,https://cdn.myanimelist.net/r/50x70/images/anime/13/75194.jpg?s=8fdc287c0abdce3b85f2b4aa0da94525
706,Evangelion Movie 1: Jo,8.0,https://myanimelist.net/anime/2759/Evangelion_Movie_1__Jo,https://cdn.myanimelist.net/r/50x70/images/anime/7/74975.jpg?s=9e3cbb7beed9ed30841608d7d3817e74
707,Fullmetal Alchemist: Brotherhood Specials,8.0,https://myanimelist.net/anime/6421/Fullmetal_Alchemist__Brotherhood_Specials,https://cdn.myanimelist.net/r/50x70/images/anime/1493/91571.jpg?s=f2446fd02aa660c9db22746d3f5f2cf3
708,BanG Dream! 3rd Season,7.99,https://myanimelist.net/anime/37870/BanG_Dream_3rd_Season,https://cdn.myanimelist.net/r/50x70/images/anime/1985/104767.jpg?s=3ca4fdfd68fcece568851db0683aea33
709,BanG Dream! Movie: Episode of Roselia - II: Song I Am.,7.99,https://myanimelist.net/anime/41781/BanG_Dream_Movie__Episode_of_Roselia_-_II__Song_I_Am,https://cdn.myanimelist.net/r/50x70/images/anime/1246/115689.jpg?s=1803c5f69a6b96674af40100527d86a1
710,Clannad,7.99,https://myanimelist.net/anime/2167/Clannad,https://cdn.myanimelist.net/r/50x70/images/anime/1804/95033.jpg?s=9859f25603227060cb83ae886ea1b65d
711,Haibane Renmei,7.99,https://myanimelist.net/anime/387/Haibane_Renmei,https://cdn.myanimelist.net/r/50x70/images/anime/9/13134.jpg?s=7374607a6b33488ad66b2924fe97e19a
712,Kaichou wa Maid-sama!,7.99,https://myanimelist.net/anime/7054/Kaichou_wa_Maid-sama,https://cdn.myanimelist.net/r/50x70/images/anime/6/25254.jpg?s=be9f1a1456def4a46152304740533cbe
713,Kidou Senshi Gundam: Dai 08 MS Shoutai,7.99,https://myanimelist.net/anime/81/Kidou_Senshi_Gundam__Dai_08_MS_Shoutai,https://cdn.myanimelist.net/r/50x70/images/anime/9/75618.jpg?s=7d4999b55a1668a2e5775bb5410859db
714,Saint Seiya: The Lost Canvas - Meiou Shinwa,7.99,https://myanimelist.net/anime/6171/Saint_Seiya__The_Lost_Canvas_-_Meiou_Shinwa,https://cdn.myanimelist.net/r/50x70/images/anime/8/75546.jpg?s=7ee914402254e47fd6fb0405f3f32e75
715,Shingeki no Kyojin Movie 2: Jiyuu no Tsubasa,7.99,https://myanimelist.net/anime/23777/Shingeki_no_Kyojin_Movie_2__Jiyuu_no_Tsubasa,https://cdn.myanimelist.net/r/50x70/images/anime/2/72510.jpg?s=4a153dacacfbd3de957bc415d7801bcf
716,Tsumiki no Ie,7.99,https://myanimelist.net/anime/5365/Tsumiki_no_Ie,https://cdn.myanimelist.net/r/50x70/images/anime/1063/117013.jpg?s=1e0820b2e3efccc5129849c426cdf587
717,Touch,7.98,https://myanimelist.net/anime/1065/Touch,https://cdn.myanimelist.net/r/50x70/images/anime/3/53087.jpg?s=38d4635a6ecf8012beddbce9e3b4ebea
718,Yuri!!! on Ice: Yuri Plisetsky GPF in Barcelona EX - Welcome to The Madness,7.98,https://myanimelist.net/anime/35382/Yuri_on_Ice__Yuri_Plisetsky_GPF_in_Barcelona_EX_-_Welcome_to_The_Madness,https://cdn.myanimelist.net/r/50x70/images/anime/6/85548.jpg?s=b059c2e0a187f9e969e2dadb5298246f
719,Zombieland Saga Revenge,7.98,https://myanimelist.net/anime/40174/Zombieland_Saga_Revenge,https://cdn.myanimelist.net/r/50x70/images/anime/1118/115156.jpg?s=7758bac8547b28cc154e0cdefb487f4c
720,Aishang Ta de Liyou Extra,7.98,https://myanimelist.net/anime/58143/Aishang_Ta_de_Liyou_Extra,https://cdn.myanimelist.net/r/50x70/images/anime/1569/141456.jpg?s=5c2288c3d5ab74b5d19efc1a16d63444
721,Aria the OVA: Arietta,7.98,https://myanimelist.net/anime/2563/Aria_the_OVA__Arietta,https://cdn.myanimelist.net/r/50x70/images/anime/11/77622.jpg?s=a0847d0099daff74d6947392ccee5a82
722,Black Clover: Mahou Tei no Ken,7.98,https://myanimelist.net/anime/48585/Black_Clover__Mahou_Tei_no_Ken,https://cdn.myanimelist.net/r/50x70/images/anime/1337/136363.jpg?s=2ac247833b8c21ddd515ca3b482819f9
723,Bleach,7.98,https://myanimelist.net/anime/269/Bleach,https://cdn.myanimelist.net/r/50x70/images/anime/1541/147774.jpg?s=30bdee0ed20655dd80300043efb1da9b
724,Boku no Hero Academia 3rd Season,7.98,https://myanimelist.net/anime/36456/Boku_no_Hero_Academia_3rd_Season,https://cdn.myanimelist.net/r/50x70/images/anime/1319/92084.jpg?s=35232941f9c872fd1f5af37fa389452b
725,Bungou Stray Dogs Wan!,7.98,https://myanimelist.net/anime/42250/Bungou_Stray_Dogs_Wan,https://cdn.myanimelist.net/r/50x70/images/anime/1293/111430.jpg?s=fb5e4234d5763ff8e46fcf7fe7fc3596
726,Dragon Ball,7.98,https://myanimelist.net/anime/223/Dragon_Ball,https://cdn.myanimelist.net/r/50x70/images/anime/1887/92364.jpg?s=9710b6fb426a62c9ca2deb991f7abfb0
727,ef: A Tale of Melodies.,7.98,https://myanimelist.net/anime/4789/ef__A_Tale_of_Melodies,https://cdn.myanimelist.net/r/50x70/images/anime/1675/131993.jpg?s=3d6b5efb9f1e0aaaa1b21e4811f5dae1
728,Eve no Jikan,7.98,https://myanimelist.net/anime/3167/Eve_no_Jikan,https://cdn.myanimelist.net/r/50x70/images/anime/13/19480.jpg?s=afbce09f6aae28654b17bfc90e03254f
729,Hachimitsu to Clover,7.98,https://myanimelist.net/anime/16/Hachimitsu_to_Clover,https://cdn.myanimelist.net/r/50x70/images/anime/1301/133577.jpg?s=fb39f0f4453987a67aa1cd9cffdac92f
730,Hanada Shounen-shi,7.98,https://myanimelist.net/anime/2004/Hanada_Shounen-shi,https://cdn.myanimelist.net/r/50x70/images/anime/2/87319.jpg?s=fa851bcd8e891886db685d32382310ec
731,Kami nomi zo Shiru Sekai: Megami-hen,7.98,https://myanimelist.net/anime/16706/Kami_nomi_zo_Shiru_Sekai__Megami-hen,https://cdn.myanimelist.net/r/50x70/images/anime/6/51949.jpg?s=84a01e96fc4234b9bf0f3d57b35c2b2f
732,Kara no Kyoukai Movie: Mirai Fukuin,7.98,https://myanimelist.net/anime/14807/Kara_no_Kyoukai_Movie__Mirai_Fukuin,https://cdn.myanimelist.net/r/50x70/images/anime/6/56621.jpg?s=0ce954ad61f62cf5c0d2aef2495b3cf8
733,Kimi ni Todoke 2nd Season,7.98,https://myanimelist.net/anime/9656/Kimi_ni_Todoke_2nd_Season,https://cdn.myanimelist.net/r/50x70/images/anime/1311/121574.jpg?s=7c457f8c4bc3a01be6b5b9705a38d1ba
734,"Komi-san wa, Comyushou desu. 2nd Season",7.98,https://myanimelist.net/anime/50631/Komi-san_wa_Comyushou_desu_2nd_Season,https://cdn.myanimelist.net/r/50x70/images/anime/1108/121157.jpg?s=296f4632df58ca572cb50b8e28a68a4e
735,Koukaku Kidoutai: Stand Alone Complex 2nd GIG - Individual Eleven,7.97,https://myanimelist.net/anime/2448/Koukaku_Kidoutai__Stand_Alone_Complex_2nd_GIG_-_Individual_Eleven,https://cdn.myanimelist.net/r/50x70/images/anime/5/2829.jpg?s=c068f1c33c2b82b8943f40d108f7d499
736,School Rumble Ni Gakki,7.97,https://myanimelist.net/anime/846/School_Rumble_Ni_Gakki,https://cdn.myanimelist.net/r/50x70/images/anime/5/75490.jpg?s=61c332c2ddeafecb9ae2f0485d61b8fa
